Latitude,Longitude,Country,Tourists
4.69025,114.91511,Brunei,55066
-2.22174,117.42341,Indonesia,2051216
3.72559,109.69815,Malaysia,1016674
21.017,96.50584,Myanmar,114023
11.7638,122.90267,Philippines,656906
15.01697,101.00613,Thailand,461082
16.65794,106.28584,Vietnam,471717
36.55507,103.88361,China,735059
114.1694,22.3193,Hong Kong,271032
23.74096,120.9748,Taiwan,248402
37.66311,138.06496,Japan,305759
36.4276,127.82132,South Korea,482287
23.83946,90.26793,Bangladesh,119479
22.92501,79.5937,India,1020542
29.97346,69.414,Pakistan,17721
7.70053,80.66724,Sri Lanka,50254
32.51892,54.28545,Iran,3872
31.48492,35.00385,Israel,17252
29.30727,47.6001,Kuwait,6775
24.12329,44.51636,Saudi Arabia,16415
23.86863,54.20671,United Arab Emirates,71760
61.46908,-98.14238,Canada,114306
45.70563,-112.59944,USA,582091
50.65244,4.58083,Belgium,25451
56.06393,9.87637,Denmark,26884
64.50409,26.21176,Finland,18123
42.4607,-2.8767,France,147781
51.13372,10.28849,Germany,267252
42.75118,12.14079,Italy,57076
52.2987,5.51222,Netherlands,82374
69.15686,15.46812,Norway,22960
53.18059,-8.01024,Ireland,20797
61.98084,96.87522,Russia,44175
40.34866,-3.61702,Spain,50456
62.81148,16.59627,Sweden,25208
46.79174,8.1183,Switzerland,66176
53.91477,-2.85314,United Kingdom,421681
-25.73065,134.50278,Australia,983269
-41.66258,172.70193,New Zealand,116442
26.50662,29.84446,Egypt,2746
57.5522,20.3484,Mauritius,4812
22.9375,30.5595,South Africa,23743
